wavelength[nm], flux
350.90, 5.9820e-12
351.04, 5.8490e-12
351.18, 5.5980e-12
351.32, 5.6830e-12
351.46, 5.9210e-12
351.60, 5.9890e-12
351.74, 5.9070e-12
351.88, 5.6970e-12
352.02, 5.5170e-12
352.16, 5.6750e-12
352.30, 5.5850e-12
352.44, 5.6190e-12
352.58, 5.7000e-12
352.72, 5.6770e-12
352.86, 5.7520e-12
353.00, 5.6470e-12
353.14, 5.4680e-12
353.28, 5.4820e-12
353.42, 5.6450e-12
353.56, 5.6740e-12
353.70, 5.4670e-12
353.84, 5.5710e-12
353.98, 5.5730e-12
354.12, 5.6470e-12
354.26, 5.8830e-12
354.40, 6.0870e-12
354.54, 6.0880e-12
354.68, 5.6370e-12
354.82, 5.5530e-12
354.96, 5.4770e-12
355.10, 5.5520e-12
355.24, 5.5610e-12
355.38, 5.3640e-12
355.52, 5.4600e-12
355.66, 5.3760e-12
355.80, 5.3700e-12
355.94, 5.4570e-12
356.08, 5.4280e-12
356.22, 5.4720e-12
356.36, 5.5680e-12
356.50, 5.4910e-12
356.64, 5.5770e-12
356.78, 5.6870e-12
356.92, 5.5580e-12
357.06, 5.3420e-12
357.20, 5.4070e-12
357.34, 5.5310e-12
357.48, 5.6740e-12
357.62, 5.7850e-12
357.76, 5.7330e-12
357.90, 5.4920e-12
358.04, 5.4270e-12
358.18, 5.7840e-12
358.32, 5.9690e-12
358.46, 5.8030e-12
358.60, 5.7320e-12
358.74, 5.6880e-12
358.88, 5.5660e-12
359.02, 5.5130e-12
359.16, 5.6400e-12
359.30, 5.7330e-12
359.44, 5.6560e-12
359.58, 5.7710e-12
359.72, 5.8700e-12
359.86, 5.7160e-12
360.00, 5.6610e-12
360.14, 5.7580e-12
360.28, 5.4650e-12
360.42, 5.1700e-12
360.56, 5.2170e-12
360.70, 5.1580e-12
360.84, 5.2540e-12
360.98, 5.2860e-12
361.12, 5.2260e-12
361.26, 5.2980e-12
361.40, 5.3110e-12
361.54, 5.3110e-12
361.68, 5.4880e-12
361.82, 5.6120e-12
361.96, 5.6210e-12
362.10, 5.5610e-12
362.24, 5.5300e-12
362.38, 5.4720e-12
362.52, 5.3860e-12
362.66, 5.1750e-12
362.80, 4.9650e-12
