wavelength[nm], flux
350.97, 1.7020e-12
351.11, 1.6250e-12
351.25, 1.5630e-12
351.39, 1.4950e-12
351.53, 1.5320e-12
351.67, 1.6010e-12
351.81, 1.6530e-12
351.95, 1.5970e-12
352.09, 1.5390e-12
352.23, 1.4690e-12
352.37, 1.4210e-12
352.51, 1.4050e-12
352.65, 1.4580e-12
352.79, 1.5940e-12
352.93, 1.6600e-12
353.07, 1.6720e-12
353.21, 1.7090e-12
353.35, 1.7350e-12
353.49, 1.7340e-12
353.63, 1.7380e-12
353.77, 1.7650e-12
353.91, 1.8090e-12
354.05, 1.7860e-12
354.19, 1.7580e-12
354.33, 1.7740e-12
354.47, 1.8040e-12
354.61, 1.7970e-12
354.75, 1.7330e-12
354.89, 1.7470e-12
355.03, 1.7350e-12
355.17, 1.6710e-12
355.31, 1.6250e-12
355.45, 1.6250e-12
355.59, 1.6470e-12
355.73, 1.5900e-12
355.87, 1.5600e-12
356.01, 1.5900e-12
356.15, 1.6310e-12
356.29, 1.6220e-12
356.43, 1.5310e-12
356.57, 1.4600e-12
356.71, 1.3950e-12
356.85, 1.3190e-12
356.99, 1.2660e-12
357.13, 1.2950e-12
357.27, 1.3990e-12
357.41, 1.4890e-12
357.55, 1.5290e-12
357.69, 1.4910e-12
357.83, 1.3940e-12
357.97, 1.2660e-12
358.11, 1.1590e-12
358.25, 1.1260e-12
358.39, 1.1240e-12
358.53, 1.1250e-12
358.67, 1.1570e-12
358.81, 1.2440e-12
358.95, 1.3790e-12
359.09, 1.5400e-12
359.23, 1.6550e-12
359.37, 1.7100e-12
359.51, 1.7800e-12
359.65, 1.8260e-12
359.79, 1.8690e-12
359.93, 1.8630e-12
360.07, 1.7730e-12
360.21, 1.6490e-12
360.35, 1.5400e-12
360.49, 1.4820e-12
360.63, 1.4590e-12
360.77, 1.4240e-12
360.91, 1.3860e-12
361.05, 1.3970e-12
361.19, 1.4690e-12
361.33, 1.5330e-12
361.47, 1.5890e-12
361.61, 1.6010e-12
361.75, 1.5230e-12
361.89, 1.3900e-12
362.03, 1.3150e-12
362.17, 1.3900e-12
362.31, 1.5660e-12
362.45, 1.6960e-12
362.59, 1.7700e-12
362.73, 1.8110e-12
362.87, 1.8290e-12
363.01, 1.7600e-12
363.15, 1.5870e-12
