wavelength[nm], flux
351.00, 8.1860e-13
351.14, 8.1770e-13
351.28, 8.3890e-13
351.42, 8.4400e-13
351.56, 8.3100e-13
351.70, 8.3270e-13
351.84, 8.3740e-13
351.98, 8.3200e-13
352.12, 8.0760e-13
352.26, 7.8450e-13
352.40, 7.6290e-13
352.54, 7.6040e-13
352.68, 7.6470e-13
352.82, 7.9000e-13
352.96, 8.2580e-13
353.10, 8.1020e-13
353.24, 7.8800e-13
353.38, 8.0680e-13
353.52, 8.1960e-13
353.66, 8.2410e-13
353.80, 8.2740e-13
353.94, 8.3120e-13
354.08, 8.1310e-13
354.22, 8.4050e-13
354.36, 8.6380e-13
354.50, 8.8280e-13
354.64, 8.7110e-13
354.78, 8.1520e-13
354.92, 8.4890e-13
355.06, 8.2660e-13
355.20, 8.4890e-13
355.34, 8.6130e-13
355.48, 8.3450e-13
355.62, 8.3460e-13
355.76, 8.3160e-13
355.90, 8.5150e-13
356.04, 8.3770e-13
356.18, 8.1820e-13
356.32, 7.9770e-13
356.46, 7.8720e-13
356.60, 8.0050e-13
356.74, 8.0010e-13
356.88, 7.8860e-13
357.02, 7.6730e-13
357.16, 7.5870e-13
357.30, 7.8810e-13
357.44, 8.1420e-13
357.58, 8.2080e-13
357.72, 8.1490e-13
357.86, 8.2230e-13
358.00, 8.1550e-13
358.14, 7.9790e-13
358.28, 7.8820e-13
358.42, 7.7420e-13
358.56, 7.7700e-13
358.70, 7.8320e-13
358.84, 8.1150e-13
358.98, 8.3050e-13
359.12, 8.1580e-13
359.26, 8.2370e-13
359.40, 8.4360e-13
359.54, 8.3590e-13
359.68, 8.0880e-13
359.82, 8.0870e-13
359.96, 8.2030e-13
360.10, 8.0170e-13
360.24, 8.0120e-13
360.38, 8.0520e-13
360.52, 7.7850e-13
360.66, 7.5420e-13
360.80, 7.5040e-13
360.94, 7.6300e-13
361.08, 7.7430e-13
361.22, 8.1370e-13
361.36, 8.4740e-13
361.50, 8.2610e-13
361.64, 8.0700e-13
361.78, 8.1850e-13
361.92, 8.1860e-13
362.06, 7.9220e-13
362.20, 7.7390e-13
362.34, 7.9430e-13
362.48, 8.3380e-13
362.62, 8.6290e-13
362.76, 8.5290e-13
362.90, 8.2720e-13
363.04, 7.8010e-13
363.18, 7.6310e-13
363.32, 7.9570e-13
363.46, 8.2240e-13
363.60, 8.5000e-13
363.74, 8.2710e-13
363.88, 8.2260e-13
364.02, 8.2260e-13
364.16, 7.9610e-13
364.30, 8.0790e-13
364.44, 8.0660e-13
364.58, 8.0550e-13
364.72, 8.0960e-13
364.86, 8.1380e-13
365.00, 8.1740e-13
365.14, 8.1760e-13
365.28, 8.4380e-13
365.42, 8.6900e-13
365.56, 8.5460e-13
365.70, 8.5790e-13
365.84, 8.6390e-13
365.98, 8.5110e-13
366.12, 8.0880e-13
366.26, 8.0190e-13
366.40, 8.1620e-13
366.54, 8.0780e-13
366.68, 8.2310e-13
366.82, 8.4240e-13
366.96, 8.3960e-13
367.10, 8.4310e-13
367.24, 8.5110e-13
367.38, 8.3790e-13
367.52, 8.3150e-13
367.66, 8.3930e-13
367.80, 8.2490e-13
367.94, 7.9550e-13
368.08, 7.9130e-13
368.22, 8.0880e-13
368.36, 8.1150e-13
368.50, 8.0810e-13
368.64, 8.1900e-13
368.78, 8.2910e-13
368.92, 8.2750e-13
369.06, 8.1310e-13
369.20, 8.2620e-13
369.34, 8.7670e-13
369.48, 8.8130e-13
369.62, 8.0620e-13
369.76, 7.4940e-13
369.90, 7.6290e-13
370.04, 8.0500e-13
370.18, 8.2330e-13
370.32, 7.9800e-13
370.46, 7.7640e-13
370.60, 7.8040e-13
370.74, 7.9300e-13
370.88, 7.8430e-13
371.02, 7.6180e-13
371.16, 7.6470e-13
371.30, 8.0660e-13
371.44, 8.3550e-13
371.58, 8.5690e-13
371.72, 8.9840e-13
371.86, 8.6800e-13
372.00, 8.0630e-13
372.14, 7.6230e-13
372.28, 7.8640e-13
372.42, 8.6180e-13
372.56, 9.2320e-13
372.70, 9.7970e-13
372.84, 9.8970e-13
372.98, 9.6320e-13
373.12, 8.7850e-13
373.26, 7.6960e-13
373.40, 7.2670e-13
373.54, 7.4710e-13
373.68, 8.3430e-13
373.82, 9.4920e-13
373.96, 1.0110e-12
374.10, 1.0540e-12
374.24, 1.0890e-12
374.38, 1.0420e-12
374.52, 9.4990e-13
374.66, 8.5250e-13
374.80, 7.5930e-13
374.94, 7.0140e-13
375.08, 7.4050e-13
375.22, 8.4460e-13
375.36, 9.4690e-13
375.50, 1.0480e-12
375.64, 1.1100e-12
375.78, 1.1220e-12
375.92, 1.1350e-12
376.06, 1.1550e-12
376.20, 1.1130e-12
376.34, 1.0610e-12
376.48, 1.0340e-12
376.62, 9.7340e-13
376.76, 8.6410e-13
376.90, 7.7340e-13
377.04, 7.4540e-13
377.18, 7.7050e-13
377.32, 8.6140e-13
377.46, 1.0130e-12
377.60, 1.1290e-12
377.74, 1.2180e-12
377.88, 1.3140e-12
378.02, 1.3810e-12
378.16, 1.4100e-12
378.30, 1.3940e-12
378.44, 1.3940e-12
378.58, 1.4100e-12
378.72, 1.3550e-12
378.86, 1.2870e-12
379.00, 1.2460e-12
379.14, 1.1630e-12
379.28, 1.0580e-12
379.42, 9.4730e-13
379.56, 8.2020e-13
379.70, 7.3960e-13
379.84, 7.5720e-13
379.98, 8.5440e-13
380.12, 9.6220e-13
380.26, 1.0780e-12
380.40, 1.2010e-12
380.54, 1.3010e-12
380.68, 1.3760e-12
380.82, 1.4530e-12
380.96, 1.5400e-12
381.10, 1.5330e-12
381.24, 1.5160e-12
381.38, 1.5550e-12
381.52, 1.5960e-12
381.66, 1.5860e-12
381.80, 1.5460e-12
381.94, 1.5180e-12
382.08, 1.4990e-12
382.22, 1.4760e-12
382.36, 1.4600e-12
382.50, 1.3770e-12
382.64, 1.2770e-12
382.78, 1.2070e-12
382.92, 1.1070e-12
383.06, 9.7530e-13
383.20, 8.4270e-13
383.34, 7.5070e-13
383.48, 6.8910e-13
383.62, 7.0810e-13
383.76, 8.1230e-13
383.90, 9.3120e-13
384.04, 1.0730e-12
384.18, 1.2170e-12
384.32, 1.3040e-12
384.46, 1.3660e-12
384.60, 1.4120e-12
384.74, 1.4890e-12
384.88, 1.5620e-12
385.02, 1.6140e-12
385.16, 1.6620e-12
385.30, 1.6920e-12
385.44, 1.7270e-12
385.58, 1.7600e-12
385.72, 1.7690e-12
385.86, 1.7870e-12
386.00, 1.8320e-12
386.14, 1.8860e-12
386.28, 1.8720e-12
386.42, 1.8460e-12
386.56, 1.8690e-12
386.70, 1.8660e-12
386.84, 1.8450e-12
386.98, 1.8020e-12
387.12, 1.7170e-12
387.26, 1.6660e-12
387.40, 1.6390e-12
387.54, 1.5980e-12
387.68, 1.5270e-12
387.82, 1.4410e-12
387.96, 1.3670e-12
388.10, 1.2930e-12
388.24, 1.2110e-12
388.38, 1.0930e-12
388.52, 9.4480e-13
388.66, 8.1640e-13
388.80, 7.4020e-13
388.94, 7.5340e-13
389.08, 8.3670e-13
389.22, 9.4620e-13
389.36, 1.0580e-12
389.50, 1.1420e-12
389.64, 1.2350e-12
389.78, 1.3660e-12
389.92, 1.4590e-12
390.06, 1.5100e-12
390.20, 1.5450e-12
390.34, 1.5710e-12
390.48, 1.6090e-12
390.62, 1.6850e-12
390.76, 1.8210e-12
390.90, 1.8760e-12
391.04, 1.8400e-12
391.18, 1.8960e-12
391.32, 1.9130e-12
391.46, 1.9060e-12
391.60, 1.8710e-12
391.74, 1.8560e-12
