wavelength[nm], flux
351.05, 4.5940e-13
351.19, 4.7310e-13
351.33, 4.8580e-13
351.47, 4.8550e-13
351.61, 4.7910e-13
351.75, 4.6800e-13
351.89, 4.4460e-13
352.03, 4.1830e-13
352.17, 3.8740e-13
352.31, 3.6840e-13
352.45, 3.8800e-13
352.59, 4.2810e-13
352.73, 4.4910e-13
352.87, 4.6250e-13
353.01, 4.9840e-13
353.15, 5.1720e-13
353.29, 5.1610e-13
353.43, 5.1330e-13
353.57, 5.0320e-13
353.71, 5.0770e-13
353.85, 5.1950e-13
353.99, 5.2350e-13
354.13, 5.4270e-13
354.27, 5.5090e-13
354.41, 5.3240e-13
354.55, 5.2840e-13
354.69, 5.3110e-13
354.83, 5.3340e-13
354.97, 4.9840e-13
355.11, 4.5350e-13
355.25, 4.6460e-13
355.39, 4.9320e-13
355.53, 4.9550e-13
355.67, 4.8590e-13
355.81, 4.8530e-13
355.95, 4.9260e-13
356.09, 4.9430e-13
356.23, 4.6040e-13
356.37, 4.1160e-13
356.51, 3.9410e-13
356.65, 3.8340e-13
356.79, 3.6030e-13
356.93, 3.6870e-13
357.07, 3.9510e-13
357.21, 4.1590e-13
357.35, 4.2680e-13
357.49, 4.2680e-13
357.63, 4.0250e-13
357.77, 3.5310e-13
357.91, 3.2280e-13
358.05, 3.2780e-13
358.19, 3.2910e-13
358.33, 3.1110e-13
358.47, 2.9980e-13
358.61, 3.1730e-13
358.75, 3.6750e-13
358.89, 4.3640e-13
359.03, 4.7270e-13
359.17, 4.9050e-13
359.31, 5.1000e-13
359.45, 5.2510e-13
359.59, 5.4370e-13
359.73, 5.9110e-13
359.87, 6.0620e-13
360.01, 5.6770e-13
360.15, 5.0830e-13
360.29, 4.6580e-13
360.43, 4.5620e-13
360.57, 4.3800e-13
360.71, 3.9770e-13
360.85, 4.0920e-13
360.99, 4.4390e-13
361.13, 4.7740e-13
361.27, 5.0870e-13
361.41, 5.2280e-13
361.55, 4.7180e-13
361.69, 4.0320e-13
361.83, 3.7600e-13
361.97, 4.1370e-13
362.11, 4.7670e-13
362.25, 5.1580e-13
362.39, 5.5400e-13
362.53, 6.0070e-13
362.67, 5.8670e-13
362.81, 5.4000e-13
362.95, 4.8620e-13
363.09, 4.4510e-13
363.23, 4.3710e-13
363.37, 4.6440e-13
363.51, 5.0340e-13
363.65, 5.4000e-13
363.79, 5.6070e-13
363.93, 5.6340e-13
364.07, 5.5220e-13
364.21, 5.2380e-13
364.35, 4.8740e-13
364.49, 4.6200e-13
364.63, 4.5090e-13
364.77, 4.5220e-13
364.91, 4.7890e-13
365.05, 5.4490e-13
365.19, 6.0110e-13
365.33, 6.2500e-13
365.47, 6.4110e-13
365.61, 6.6040e-13
365.75, 6.8370e-13
365.89, 6.9690e-13
366.03, 6.8480e-13
366.17, 6.6410e-13
366.31, 6.6180e-13
366.45, 6.6550e-13
366.59, 6.5970e-13
366.73, 6.4170e-13
366.87, 6.3340e-13
367.01, 6.5100e-13
367.15, 6.7840e-13
367.29, 6.7890e-13
367.43, 6.5850e-13
367.57, 6.2820e-13
367.71, 5.6780e-13
367.85, 5.3650e-13
367.99, 5.3890e-13
368.13, 5.6010e-13
368.27, 5.7650e-13
368.41, 5.6390e-13
368.55, 5.2300e-13
368.69, 5.2360e-13
368.83, 5.4900e-13
368.97, 6.0090e-13
369.11, 6.4340e-13
369.25, 6.4970e-13
369.39, 6.4690e-13
369.53, 6.4190e-13
369.67, 6.2780e-13
369.81, 6.4960e-13
369.95, 6.6820e-13
370.09, 6.4760e-13
370.23, 6.1040e-13
370.37, 5.3690e-13
370.51, 4.7640e-13
370.65, 4.5530e-13
370.79, 4.7660e-13
370.93, 5.3210e-13
371.07, 6.3370e-13
371.21, 7.0760e-13
371.35, 7.1750e-13
371.49, 6.9060e-13
371.63, 6.3120e-13
371.77, 5.3780e-13
371.91, 4.3120e-13
372.05, 4.1170e-13
372.19, 4.5300e-13
372.33, 5.0440e-13
372.47, 5.3720e-13
372.61, 5.4980e-13
372.75, 5.6240e-13
372.89, 5.6900e-13
373.03, 5.3310e-13
373.17, 4.5720e-13
373.31, 3.7100e-13
373.45, 3.2620e-13
373.59, 3.3790e-13
373.73, 3.8720e-13
373.87, 4.5530e-13
374.01, 5.0460e-13
374.15, 5.0070e-13
374.29, 4.4790e-13
374.43, 3.9650e-13
374.57, 3.5960e-13
374.71, 3.4650e-13
374.85, 3.7270e-13
374.99, 4.4580e-13
375.13, 5.3060e-13
375.27, 5.9020e-13
375.41, 6.2230e-13
375.55, 6.0640e-13
375.69, 5.4650e-13
375.83, 4.9570e-13
375.97, 5.0110e-13
376.11, 5.0820e-13
376.25, 5.0280e-13
376.39, 4.9560e-13
376.53, 5.0130e-13
376.67, 5.2400e-13
376.81, 5.6790e-13
376.95, 6.0720e-13
377.09, 6.4450e-13
377.23, 6.8010e-13
377.37, 6.8390e-13
377.51, 6.8890e-13
377.65, 7.0000e-13
377.79, 7.1340e-13
377.93, 7.3090e-13
378.07, 7.4320e-13
378.21, 7.3880e-13
378.35, 7.0630e-13
378.49, 6.5210e-13
378.63, 5.9440e-13
378.77, 5.5980e-13
