wavelength[nm], flux
351.00, 3.0090e-11
351.14, 3.0960e-11
351.28, 3.1050e-11
351.42, 3.1110e-11
351.56, 3.1160e-11
351.70, 3.0750e-11
351.84, 3.0180e-11
351.98, 2.8590e-11
352.12, 2.9240e-11
352.26, 2.9910e-11
352.40, 2.9520e-11
352.54, 2.8930e-11
352.68, 2.8420e-11
352.82, 2.8130e-11
352.96, 2.8170e-11
353.10, 2.7720e-11
353.24, 2.8600e-11
353.38, 3.0050e-11
353.52, 3.0470e-11
353.66, 3.0210e-11
353.80, 2.9540e-11
353.94, 3.0670e-11
354.08, 3.1060e-11
354.22, 2.9820e-11
354.36, 2.9120e-11
354.50, 2.9510e-11
354.64, 3.0070e-11
354.78, 2.9760e-11
354.92, 2.9500e-11
355.06, 2.9930e-11
355.20, 2.9830e-11
355.34, 2.9140e-11
355.48, 2.8680e-11
355.62, 2.8550e-11
355.76, 2.9030e-11
355.90, 2.9120e-11
356.04, 2.8550e-11
356.18, 2.8270e-11
356.32, 2.8720e-11
356.46, 3.0020e-11
356.60, 3.0820e-11
356.74, 2.9440e-11
356.88, 2.8370e-11
357.02, 2.8460e-11
357.16, 2.8430e-11
357.30, 2.9110e-11
357.44, 3.0360e-11
357.58, 3.0400e-11
357.72, 2.9570e-11
357.86, 2.9440e-11
358.00, 2.9270e-11
358.14, 2.8940e-11
358.28, 2.8920e-11
358.42, 2.9970e-11
358.56, 3.0830e-11
358.70, 3.0560e-11
358.84, 2.9520e-11
358.98, 2.7710e-11
359.12, 2.6970e-11
359.26, 2.7750e-11
359.40, 2.8750e-11
359.54, 2.8450e-11
359.68, 2.8340e-11
359.82, 2.9120e-11
359.96, 2.9310e-11
360.10, 2.9960e-11
360.24, 3.0600e-11
360.38, 3.0020e-11
360.52, 2.8710e-11
360.66, 2.8000e-11
360.80, 2.7350e-11
360.94, 2.7270e-11
361.08, 2.7610e-11
361.22, 2.7280e-11
361.36, 2.7000e-11
361.50, 2.7870e-11
361.64, 2.8360e-11
361.78, 2.8510e-11
361.92, 2.7860e-11
362.06, 2.6810e-11
362.20, 2.6660e-11
362.34, 2.8180e-11
362.48, 2.9270e-11
362.62, 2.8880e-11
362.76, 2.8720e-11
362.90, 2.8580e-11
363.04, 2.8620e-11
363.18, 2.8730e-11
363.32, 2.8000e-11
363.46, 2.6810e-11
363.60, 2.7320e-11
363.74, 2.8020e-11
363.88, 2.8740e-11
364.02, 2.9430e-11
364.16, 2.9650e-11
364.30, 2.9560e-11
364.44, 2.9410e-11
364.58, 2.9190e-11
364.72, 2.8530e-11
364.86, 2.7760e-11
365.00, 2.7410e-11
365.14, 2.7650e-11
365.28, 2.7790e-11
365.42, 2.7290e-11
365.56, 2.6930e-11
365.70, 2.7760e-11
365.84, 2.8900e-11
365.98, 2.8520e-11
366.12, 2.8450e-11
366.26, 2.7850e-11
366.40, 2.7470e-11
366.54, 2.7550e-11
366.68, 2.7710e-11
366.82, 2.7210e-11
366.96, 2.6550e-11
367.10, 2.5740e-11
367.24, 2.5730e-11
367.38, 2.6780e-11
367.52, 2.8420e-11
367.66, 2.9350e-11
367.80, 2.8840e-11
367.94, 2.8480e-11
368.08, 2.8390e-11
368.22, 2.8430e-11
368.36, 2.7790e-11
368.50, 2.6630e-11
368.64, 2.6310e-11
368.78, 2.6560e-11
368.92, 2.6620e-11
369.06, 2.6880e-11
369.20, 2.6830e-11
369.34, 2.6180e-11
369.48, 2.6710e-11
369.62, 2.6180e-11
369.76, 2.5950e-11
369.90, 2.6390e-11
370.04, 2.7440e-11
370.18, 2.8280e-11
370.32, 2.7220e-11
370.46, 2.6590e-11
370.60, 2.7220e-11
370.74, 2.8020e-11
370.88, 2.7580e-11
371.02, 2.5540e-11
371.16, 2.4950e-11
371.30, 2.6430e-11
371.44, 2.8110e-11
371.58, 2.8960e-11
371.72, 2.8610e-11
371.86, 2.7290e-11
372.00, 2.6780e-11
372.14, 2.6140e-11
372.28, 2.6550e-11
372.42, 2.7600e-11
372.56, 2.8770e-11
372.70, 2.9790e-11
372.84, 3.0450e-11
372.98, 2.9420e-11
373.12, 2.7820e-11
373.26, 2.6470e-11
373.40, 2.5740e-11
373.54, 2.6440e-11
373.68, 2.8670e-11
373.82, 3.0380e-11
373.96, 3.2090e-11
374.10, 3.3660e-11
374.24, 3.4650e-11
374.38, 3.3560e-11
374.52, 3.0670e-11
374.66, 2.7890e-11
374.80, 2.5620e-11
374.94, 2.4310e-11
375.08, 2.4610e-11
375.22, 2.6550e-11
375.36, 3.0240e-11
375.50, 3.3520e-11
375.64, 3.5590e-11
375.78, 3.6590e-11
375.92, 3.6960e-11
376.06, 3.7990e-11
376.20, 3.7760e-11
376.34, 3.5830e-11
376.48, 3.3260e-11
376.62, 3.1410e-11
376.76, 2.8720e-11
376.90, 2.5350e-11
377.04, 2.3620e-11
377.18, 2.4130e-11
377.32, 2.6550e-11
377.46, 2.9670e-11
377.60, 3.3190e-11
377.74, 3.6090e-11
377.88, 3.8040e-11
378.02, 3.9290e-11
378.16, 4.0220e-11
378.30, 4.1360e-11
378.44, 4.0500e-11
378.58, 3.8910e-11
378.72, 3.8090e-11
378.86, 3.7470e-11
379.00, 3.6530e-11
379.14, 3.4620e-11
379.28, 3.2010e-11
379.42, 2.9010e-11
379.56, 2.6010e-11
379.70, 2.3970e-11
379.84, 2.4130e-11
379.98, 2.5820e-11
380.12, 2.8240e-11
