wavelength[nm], flux
351.18, 1.2410e-12
351.32, 1.2300e-12
351.46, 1.2260e-12
351.60, 1.2210e-12
351.74, 1.2450e-12
351.88, 1.2840e-12
352.02, 1.2680e-12
352.16, 1.2040e-12
352.30, 1.1740e-12
352.44, 1.1670e-12
352.58, 1.1890e-12
352.72, 1.2260e-12
352.86, 1.2260e-12
353.00, 1.2140e-12
353.14, 1.1920e-12
353.28, 1.1940e-12
353.42, 1.2590e-12
353.56, 1.3230e-12
353.70, 1.3270e-12
353.84, 1.2760e-12
353.98, 1.3120e-12
354.12, 1.3340e-12
354.26, 1.3240e-12
354.40, 1.3180e-12
354.54, 1.2930e-12
354.68, 1.2910e-12
354.82, 1.3400e-12
354.96, 1.3540e-12
355.10, 1.3440e-12
355.24, 1.3490e-12
355.38, 1.3120e-12
355.52, 1.2670e-12
355.66, 1.2830e-12
355.80, 1.3160e-12
355.94, 1.2710e-12
356.08, 1.2540e-12
356.22, 1.3060e-12
356.36, 1.3140e-12
356.50, 1.2550e-12
356.64, 1.1920e-12
356.78, 1.1670e-12
356.92, 1.1410e-12
357.06, 1.1130e-12
357.20, 1.1100e-12
357.34, 1.1160e-12
357.48, 1.1250e-12
357.62, 1.1600e-12
357.76, 1.1940e-12
357.90, 1.2290e-12
358.04, 1.2440e-12
358.18, 1.2210e-12
358.32, 1.1900e-12
358.46, 1.1280e-12
358.60, 1.0750e-12
358.74, 1.0990e-12
358.88, 1.1500e-12
359.02, 1.1470e-12
359.16, 1.1220e-12
359.30, 1.1370e-12
359.44, 1.1850e-12
359.58, 1.2230e-12
359.72, 1.2260e-12
359.86, 1.2070e-12
360.00, 1.2250e-12
360.14, 1.2770e-12
360.28, 1.2840e-12
360.42, 1.2510e-12
360.56, 1.2270e-12
360.70, 1.2530e-12
360.84, 1.2980e-12
360.98, 1.2980e-12
361.12, 1.2690e-12
361.26, 1.2420e-12
361.40, 1.2140e-12
361.54, 1.1990e-12
361.68, 1.2200e-12
361.82, 1.2170e-12
361.96, 1.1940e-12
362.10, 1.1770e-12
362.24, 1.1920e-12
362.38, 1.2420e-12
362.52, 1.2940e-12
362.66, 1.3060e-12
362.80, 1.3200e-12
362.94, 1.3060e-12
363.08, 1.2600e-12
363.22, 1.2130e-12
363.36, 1.1980e-12
363.50, 1.1930e-12
363.64, 1.2530e-12
363.78, 1.2810e-12
363.92, 1.2840e-12
364.06, 1.2830e-12
364.20, 1.2820e-12
364.34, 1.2560e-12
364.48, 1.2490e-12
364.62, 1.2110e-12
364.76, 1.1820e-12
364.90, 1.1590e-12
365.04, 1.1650e-12
365.18, 1.2230e-12
365.32, 1.2830e-12
365.46, 1.3150e-12
365.60, 1.3440e-12
365.74, 1.3470e-12
365.88, 1.3250e-12
366.02, 1.3040e-12
366.16, 1.3470e-12
366.30, 1.4010e-12
366.44, 1.4130e-12
366.58, 1.3910e-12
366.72, 1.3600e-12
366.86, 1.3390e-12
367.00, 1.3050e-12
367.14, 1.3180e-12
367.28, 1.3190e-12
367.42, 1.3180e-12
367.56, 1.3270e-12
367.70, 1.3350e-12
367.84, 1.3070e-12
367.98, 1.2790e-12
368.12, 1.2720e-12
368.26, 1.2610e-12
368.40, 1.2700e-12
368.54, 1.2600e-12
368.68, 1.2180e-12
368.82, 1.1910e-12
368.96, 1.2260e-12
369.10, 1.2990e-12
369.24, 1.3380e-12
369.38, 1.3240e-12
369.52, 1.3140e-12
369.66, 1.3380e-12
369.80, 1.3510e-12
369.94, 1.3710e-12
370.08, 1.4110e-12
370.22, 1.4430e-12
370.36, 1.4010e-12
370.50, 1.2920e-12
370.64, 1.2490e-12
370.78, 1.2330e-12
370.92, 1.2440e-12
371.06, 1.2650e-12
371.20, 1.2510e-12
371.34, 1.2540e-12
371.48, 1.4010e-12
371.62, 1.5210e-12
371.76, 1.5750e-12
371.90, 1.5700e-12
372.04, 1.4640e-12
372.18, 1.3330e-12
372.32, 1.2620e-12
372.46, 1.2920e-12
372.60, 1.3870e-12
372.74, 1.4870e-12
372.88, 1.5510e-12
373.02, 1.5850e-12
373.16, 1.5340e-12
373.30, 1.4150e-12
373.44, 1.2630e-12
373.58, 1.1160e-12
373.72, 1.1100e-12
373.86, 1.2570e-12
374.00, 1.4170e-12
374.14, 1.5470e-12
374.28, 1.6200e-12
374.42, 1.6590e-12
374.56, 1.5910e-12
374.70, 1.4690e-12
374.84, 1.3490e-12
374.98, 1.2280e-12
375.12, 1.1610e-12
375.26, 1.2290e-12
375.40, 1.4160e-12
375.54, 1.6020e-12
375.68, 1.7110e-12
375.82, 1.7150e-12
375.96, 1.6500e-12
376.10, 1.6060e-12
376.24, 1.6690e-12
376.38, 1.7380e-12
376.52, 1.7330e-12
376.66, 1.6700e-12
376.80, 1.6140e-12
