wavelength[nm], flux
351.22, 1.2370e-13
351.36, 7.7720e-14
351.50, 7.6340e-14
351.64, 1.0140e-13
351.78, 1.0430e-13
351.92, 1.0090e-13
352.06, 1.0400e-13
352.20, 8.8520e-14
352.34, 5.8210e-14
352.48, 5.4220e-14
352.62, 7.1820e-14
352.76, 8.3220e-14
352.90, 1.1050e-13
353.04, 1.0580e-13
353.18, 9.9270e-14
353.32, 1.3900e-13
353.46, 1.7150e-13
353.60, 1.6400e-13
353.74, 1.6350e-13
353.88, 1.9000e-13
354.02, 1.5800e-13
354.16, 1.3400e-13
354.30, 1.5980e-13
354.44, 1.7470e-13
354.58, 1.6370e-13
354.72, 1.8100e-13
354.86, 1.6540e-13
355.00, 1.3050e-13
355.14, 1.1230e-13
355.28, 9.1940e-14
355.42, 8.5690e-14
355.56, 1.0780e-13
355.70, 1.4060e-13
355.84, 1.2230e-13
355.98, 1.1190e-13
356.12, 1.3010e-13
356.26, 1.2320e-13
356.40, 1.0500e-13
356.54, 1.0060e-13
356.68, 9.0670e-14
356.82, 9.5530e-14
356.96, 1.0110e-13
357.10, 8.4630e-14
357.24, 7.7840e-14
357.38, 8.1330e-14
357.52, 9.6770e-14
357.66, 1.0600e-13
357.80, 7.4500e-14
357.94, 4.2300e-14
358.08, 4.4780e-14
358.22, 4.8760e-14
358.36, 4.8040e-14
358.50, 6.2740e-14
358.64, 6.9110e-14
358.78, 6.7790e-14
358.92, 9.1000e-14
359.06, 1.0680e-13
359.20, 1.0840e-13
359.34, 9.2990e-14
359.48, 6.7390e-14
359.62, 7.6500e-14
359.76, 1.2480e-13
359.90, 1.3890e-13
360.04, 1.2680e-13
360.18, 1.2520e-13
360.32, 1.2420e-13
360.46, 1.1810e-13
360.60, 1.0650e-13
360.74, 8.8510e-14
360.88, 8.7340e-14
361.02, 8.1360e-14
361.16, 8.6590e-14
361.30, 9.3130e-14
361.44, 1.0630e-13
361.58, 1.4280e-13
361.72, 1.3860e-13
361.86, 9.4350e-14
362.00, 7.4180e-14
362.14, 9.1060e-14
362.28, 1.1310e-13
362.42, 1.1270e-13
362.56, 1.1140e-13
362.70, 1.1800e-13
362.84, 1.1090e-13
362.98, 9.5270e-14
363.12, 8.7090e-14
363.26, 8.2780e-14
363.40, 8.3080e-14
363.54, 1.1130e-13
363.68, 1.2590e-13
363.82, 1.2560e-13
363.96, 1.3300e-13
364.10, 1.5690e-13
364.24, 1.5940e-13
364.38, 1.2240e-13
364.52, 1.0910e-13
364.66, 1.0210e-13
364.80, 9.7000e-14
364.94, 1.0200e-13
365.08, 1.1490e-13
365.22, 1.0460e-13
365.36, 1.0240e-13
365.50, 1.0890e-13
365.64, 1.0970e-13
365.78, 1.1930e-13
365.92, 1.4230e-13
366.06, 1.3420e-13
366.20, 1.2350e-13
366.34, 1.2200e-13
366.48, 1.3740e-13
366.62, 1.4690e-13
366.76, 1.4150e-13
366.90, 1.5010e-13
367.04, 1.4820e-13
367.18, 1.2490e-13
367.32, 1.1080e-13
367.46, 1.1310e-13
367.60, 1.2410e-13
367.74, 1.3040e-13
367.88, 1.3720e-13
368.02, 1.1740e-13
368.16, 1.0820e-13
368.30, 1.0530e-13
368.44, 1.0730e-13
368.58, 1.1510e-13
368.72, 1.0810e-13
368.86, 1.0230e-13
369.00, 1.0980e-13
369.14, 1.3740e-13
369.28, 1.6280e-13
369.42, 1.5990e-13
369.56, 1.5500e-13
369.70, 1.3660e-13
369.84, 1.2700e-13
369.98, 1.3970e-13
370.12, 1.5770e-13
370.26, 1.4240e-13
370.40, 1.3130e-13
370.54, 1.0580e-13
370.68, 8.3460e-14
370.82, 8.3570e-14
370.96, 1.0020e-13
371.10, 1.0030e-13
371.24, 1.2460e-13
371.38, 1.4050e-13
371.52, 1.4900e-13
371.66, 1.4280e-13
371.80, 1.2010e-13
371.94, 1.0240e-13
372.08, 8.1270e-14
372.22, 7.1640e-14
372.36, 6.7230e-14
372.50, 7.3690e-14
372.64, 9.1790e-14
372.78, 1.0540e-13
372.92, 1.0300e-13
373.06, 1.0040e-13
373.20, 1.0340e-13
373.34, 1.0360e-13
373.48, 9.0450e-14
373.62, 7.1840e-14
373.76, 7.0740e-14
373.90, 6.6510e-14
374.04, 6.3720e-14
374.18, 7.2550e-14
374.32, 9.5790e-14
374.46, 9.1200e-14
374.60, 7.7560e-14
374.74, 6.6440e-14
374.88, 6.1930e-14
375.02, 6.9520e-14
375.16, 8.2780e-14
375.30, 9.8140e-14
375.44, 1.2930e-13
375.58, 1.3680e-13
375.72, 1.1020e-13
375.86, 7.9620e-14
376.00, 8.5920e-14
376.14, 1.0330e-13
376.28, 1.1770e-13
376.42, 1.2640e-13
376.56, 1.1980e-13
376.70, 1.0720e-13
376.84, 1.2000e-13
376.98, 1.3890e-13
377.12, 1.4660e-13
377.26, 1.4630e-13
377.40, 1.4560e-13
377.54, 1.4870e-13
377.68, 1.5160e-13
377.82, 1.5010e-13
377.96, 1.4830e-13
378.10, 1.5360e-13
378.24, 1.7180e-13
378.38, 1.6880e-13
378.52, 1.5500e-13
378.66, 1.4730e-13
378.80, 1.3690e-13
378.94, 1.3260e-13
379.08, 1.3210e-13
379.22, 1.3470e-13
379.36, 1.3720e-13
379.50, 1.3160e-13
379.64, 1.2220e-13
379.78, 1.1130e-13
379.92, 1.1550e-13
380.06, 1.3540e-13
380.20, 1.4980e-13
380.34, 1.5660e-13
380.48, 1.6010e-13
380.62, 1.5190e-13
380.76, 1.5030e-13
380.90, 1.5880e-13
381.04, 1.6360e-13
381.18, 1.6840e-13
381.32, 1.5800e-13
381.46, 1.3950e-13
381.60, 1.2320e-13
381.74, 1.0350e-13
381.88, 1.0090e-13
382.02, 1.0330e-13
382.16, 1.0220e-13
382.30, 1.0320e-13
382.44, 1.0270e-13
382.58, 1.0900e-13
382.72, 1.0280e-13
382.86, 9.2670e-14
383.00, 9.4420e-14
383.14, 9.5920e-14
383.28, 9.3990e-14
383.42, 9.7070e-14
383.56, 1.1260e-13
383.70, 1.2320e-13
383.84, 1.2670e-13
383.98, 1.2890e-13
384.12, 1.2130e-13
384.26, 1.1720e-13
384.40, 1.3030e-13
384.54, 1.4210e-13
384.68, 1.5550e-13
384.82, 1.5460e-13
384.96, 1.3620e-13
385.10, 1.2800e-13
385.24, 1.1750e-13
385.38, 1.1990e-13
385.52, 1.2190e-13
385.66, 1.0560e-13
385.80, 9.0780e-14
385.94, 8.4260e-14
386.08, 8.9510e-14
386.22, 1.0590e-13
386.36, 1.2490e-13
386.50, 1.3240e-13
386.64, 1.3490e-13
386.78, 1.5240e-13
386.92, 1.6320e-13
387.06, 1.3840e-13
387.20, 1.1020e-13
387.34, 9.3060e-14
387.48, 1.1140e-13
387.62, 1.4290e-13
387.76, 1.3840e-13
387.90, 1.2590e-13
388.04, 1.2340e-13
388.18, 1.4220e-13
388.32, 1.5430e-13
388.46, 1.3810e-13
388.60, 1.2190e-13
388.74, 1.0500e-13
388.88, 1.0880e-13
389.02, 1.4360e-13
389.16, 1.5460e-13
389.30, 1.5320e-13
389.44, 1.4560e-13
389.58, 1.3560e-13
389.72, 1.3560e-13
389.86, 1.3120e-13
390.00, 1.2760e-13
390.14, 1.3000e-13
390.28, 1.3170e-13
390.42, 1.4070e-13
390.56, 1.4680e-13
390.70, 1.4950e-13
390.84, 1.5180e-13
390.98, 1.6260e-13
391.12, 1.5810e-13
391.26, 1.5140e-13
391.40, 1.5320e-13
391.54, 1.6930e-13
391.68, 1.8530e-13
391.82, 1.8810e-13
391.96, 1.7690e-13
392.10, 1.5530e-13
392.24, 1.4860e-13
392.38, 1.3780e-13
392.52, 1.3930e-13
392.66, 1.3990e-13
392.80, 1.3820e-13
392.94, 1.1920e-13
393.08, 1.0070e-13
393.22, 9.0130e-14
393.36, 9.0470e-14
393.50, 1.0370e-13
393.64, 1.0350e-13
393.78, 1.0710e-13
393.92, 1.1120e-13
394.06, 1.1480e-13
394.20, 1.1980e-13
394.34, 1.0820e-13
394.48, 1.0190e-13
394.62, 1.1460e-13
394.76, 1.2880e-13
394.90, 1.4380e-13
395.04, 1.6000e-13
395.18, 1.7250e-13
395.32, 1.8510e-13
395.46, 1.6990e-13
395.60, 1.4340e-13
395.74, 1.2640e-13
395.88, 1.1120e-13
396.02, 9.2520e-14
